uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Gestão Financeira,Tecnológico,Curso a Distância,260.27,0,1,,,546.36,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão Financeira,Tecnológico,Noturno,539.04,1,2,,,564.70,581.72,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão Financeira,Tecnológico,Curso a Distância,279.00,0,1,,,544.04,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Gestão Hospitalar,Tecnológico,Curso a Distância,272.00,,,,1,,,542.18,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Gestão Hospitalar,Tecnológico,Curso a Distância,257.19,,,,1,,,584.14,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão Hospitalar,Tecnológico,Curso a Distância,299.00,0,1,,,531.74,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,SÃO JOSÉ DOS CAMPOS (ITS) - SP - Vila Betânia,Gestão Pública,Tecnológico,Curso a Distância,279.00,0,1,1,1,559.54,,592.58,487.34
SP,Sao Jose dos Campos,Universidade Anhanguera - UNIDERP,SAO JOSE DOS CAMPOS/SP (24105) - Colônia Paraíso,Gestão Pública,Tecnológico,Curso a Distância,219.00,1,1,,,472.22,450.00,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS II - Jardim Serimbura,Gestão Pública,Tecnológico,Curso a Distância,299.00,0,1,,,662.02,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão Pública,Tecnológico,Curso a Distância,299.00,0,1,,,559.90,,,
SP,Sao Jose dos Campos,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD SÃO JOSÉ DOS CAMPOS - SP - Centro,História,Licenciatura,Curso a Distância,327.14,0,1,,,579.02,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,História,Licenciatura,Curso a Distância,237.00,,,,1,,,536.52,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,História,Licenciatura,Curso a Distância,257.19,,,,1,,,530.24,
